Symbol,Name,Date,Transaction,Qty,Price,Commission,Tax,Broker
01918,融创中国,2016-08-09,BUY,2000,4.5345,3.0831,8.6739,GJ-ZJW
01088,中国神华,2016-12-06,BUY,2000,14.1436,6.0159,28.3936,GJ-ZJW
00966,中国太平,2016-12-06,BUY,2000,15.6697,6.4684,31.9428,GJ-ZJW
00998,中信银行,2016-12-14,BUY,2000,4.5939,3.1517,9.7933,GJ-ZJW
01088,中国神华,2016-12-14,BUY,1000,14.1202,3.8906,14.2448,GJ-ZJW
00998,中信银行,2016-12-14,BUY,2000,4.5494,3.1428,9.7933,GJ-ZJW
01088,中国神华,2016-12-19,BUY,1000,13.5712,3.8225,14.3232,GJ-ZJW
00998,中信银行,2016-12-19,BUY,2000,4.5297,3.1511,9.8472,GJ-ZJW
00998,中信银行,2016-12-21,BUY,2000,4.3905,3.1118,8.942,GJ-ZJW
00998,中信银行,2017-01-16,SELL,-2000,4.5736,3.1499,9.7878,GJ-ZJW
00998,中信银行,2017-01-17,SELL,-4000,4.5339,4.4897,18.5598,GJ-ZJW
01918,融创中国,2017-01-18,SELL,-2000,6.0308,3.5709,12.3438,GJ-ZJW
01055,中国南方航空股份,2017-03-07,BUY,4000,4.365,4.4006,17.78,GJ-ZJW
01378,中国宏桥,2017-03-14,BUY,4000,6.3382,7.3531,25.8158,GJ-ZJW
01378,中国宏桥,2017-03-14,BUY,4000,6.3382,9.1335,26.706,GJ-ZJW
01378,中国宏桥,2017-03-16,BUY,2000,6.4527,3.7063,13.332,GJ-ZJW
01055,中国南方航空股份,2017-03-29,BUY,2000,4.9744,3.2719,10.6404,GJ-ZJW
01055,中国南方航空股份,2017-03-30,SELL,-2000,4.7965,3.2095,9.7526,GJ-ZJW
01918,融创中国,2017-04-21,BUY,2000,10.0525,4.7873,20.3527,GJ-ZJW
01918,融创中国,2017-04-21,BUY,2000,9.964,4.7608,20.3527,GJ-ZJW
00966,中国太平,2017-04-21,BUY,1000,16.1583,5.9731,16.8131,GJ-ZJW
01918,融创中国,2017-04-24,BUY,2000,9.8257,4.727,20.3596,GJ-ZJW
01918,融创中国,2017-04-25,BUY,3000,9.6498,6.1174,29.2149,GJ-ZJW
01918,融创中国,2017-04-26,BUY,2000,9.849,4.7208,20.3711,GJ-ZJW
01918,融创中国,2017-04-26,BUY,3000,9.6187,6.1025,29.2281,GJ-ZJW
01918,融创中国,2017-04-26,BUY,3000,9.5301,6.067,29.2281,GJ-ZJW
01918,融创中国,2017-04-26,BUY,3000,9.3884,5.9962,28.3424,GJ-ZJW
01088,中国神华,2017-04-27,SELL,-2000,15.6804,6.4832,31.9284,GJ-ZJW
01918,融创中国,2017-04-27,SELL,-3000,9.7382,6.1551,29.2677,GJ-ZJW
00998,中信银行,2017-05-02,SELL,-2000,4.3877,3.0935,8.864,GJ-ZJW
01918,融创中国,2017-05-04,BUY,2000,9.1821,4.529,18.6123,GJ-ZJW
01918,融创中国,2017-05-04,BUY,2000,9.0048,4.467,18.6123,GJ-ZJW
01918,融创中国,2017-05-08,BUY,2000,8.8335,4.4345,17.738,GJ-ZJW
01918,融创中国,2017-05-08,BUY,2000,8.7448,4.399,17.738,GJ-ZJW
01918,融创中国,2017-05-08,BUY,2000,8.6561,4.3724,17.738,GJ-ZJW
01055,中国南方航空股份,2017-05-10,SELL,-4000,4.6536,4.565,19.5008,GJ-ZJW
01918,融创中国,2017-05-16,SELL,-5000,9.1114,8.6072,45.9992,GJ-ZJW
01088,中国神华,2017-05-19,SELL,-2000,16.3995,6.6855,33.649,GJ-ZJW
00966,中国太平,2017-05-19,SELL,-1000,17.586,4.4009,17.71,GJ-ZJW
00966,中国太平,2017-05-19,SELL,-2000,17.3558,12.2553,35.42,GJ-ZJW
02007,碧桂园,2017-05-22,BUY,10000,6.6855,11.7949,67.298,GJ-ZJW
02007,碧桂园,2017-06-13,SELL,-10000,8.2114,14.0518,82.8115,GJ-ZJW
02007,碧桂园,2017-06-26,BUY,5000,7.6115,7.4624,38.5836,GJ-ZJW
01918,融创中国,2017-06-30,SELL,-5000,13.1128,11.5671,65.9984,GJ-ZJW
03900,绿城中国,2017-07-05,BUY,3000,7.9949,5.3299,24.3852,GJ-ZJW
02007,碧桂园,2017-07-05,SELL,-5000,7.8816,9.3883,40.9323,GJ-ZJW
01918,融创中国,2017-07-06,SELL,-17000,13.586,44.0153,232.5303,GJ-ZJW
03900,绿城中国,2017-08-14,SELL,-3000,9.2592,5.8744,28.1358,GJ-ZJW
03323,中国建材,2018-01-12,BUY,10000,6.5144,12.0533,65.3093,GJ-ZJW
